Lemma,Unique Topics Count,POS Tags
cm,33,"NOUN, PROPN"
Simplify,2,PROPN
Steve,4,PROPN
ask,8,VERB
wrong,15,ADJ
mistake,3,NOUN
height,5,NOUN
child,10,NOUN
information,26,NOUN
order,1,VERB
stem,2,NOUN
leaf,2,NOUN
10th,1,ADJ
lie,10,"NOUN, VERB"
start,1,VERB
iteration,2,NOUN
twice,9,ADV
-axi,6,NOUN
State,5,PROPN
maximum,12,ADJ
express,3,VERB
graph,9,NOUN
letter,9,NOUN
dotted,3,ADJ
Equation,1,PROPN
Graph,2,PROPN
-axis,2,NOUN
c,7,"NOUN, PROPN"
constant,15,"ADJ, NOUN"
3rd,1,ADJ
perpendicular,11,"ADJ, NOUN"
get,17,VERB
arrange,1,VERB
inverse,1,"ADJ, NOUN"
work,39,VERB
clearly,30,ADV
Colin,5,PROPN
lie,9,VERB
correct?show,6,"ADJ, NOUN"
tick,4,"NOUN, VERB"
true,6,ADJ
false,2,ADJ
factor,9,"NOUN, PROPN"
true,3,ADJ
false,2,ADJ
Express,7,PROPN
constant,7,NOUN
centre,23,"VERB, NOUN, PROPN"
.Show,10,PROPN
stage,8,NOUN
list,2,VERB
function,3,NOUN
calculate,35,VERB
distance,17,NOUN
travel,9,VERB
tram,2,NOUN
library,2,NOUN
town,6,NOUN
hall,4,NOUN
m,21,"VERB, NOUN, PROPN"
Ben,9,PROPN
right?you,4,"ADJ, NOUN"
explain,8,VERB
D,8,PROPN
D.,4,PROPN
Sequence,1,PROPN
1st,4,ADJ
d,11,"ADJ, NOUN"
draw,17,VERB
.find,3,"ADV, NOUN"
ABCD,6,PROPN
andare,4,PROPN
represent,2,VERB
be,30,VERB
n,5,"NOUN, PROPN"
Kate,2,PROPN
homework,3,NOUN
centimetre,8,NOUN
Fay,2,PROPN
assume,6,VERB
scale,10,"ADJ, NOUN"
represent,14,VERB
unit,4,NOUN
assumption,14,NOUN
radius,14,NOUN
cmcentre,1,NOUN
vertex,7,NOUN
.You,8,PROPN
origin,5,NOUN
underestimate,3,"NOUN, VERB"
overestimate,3,"NOUN, VERB"
actual,5,ADJ
car,11,NOUN
seconds?give,1,NOUN
draw,12,VERB
speed,11,NOUN
second,14,"ADJ, NOUN"
s,4,"NOUN, PROPN, VERB"
t,12,"NOUN, PROPN"
second,11,NOUN
acceleration,2,NOUN
s2,2,"NOUN, PROPN"
exact,14,ADJ
coordinate,5,"NOUN, VERB"
turning,2,NOUN
estimate,6,VERB
instantaneous,2,ADJ
pass,5,VERB
through,1,ADV
correctly,3,ADV
factorise,1,VERB
get,27,VERB
correct?Tick,5,PROPN
box,30,"NOUN, PROPN"
no,6,NOUN
chess,4,NOUN
club,5,NOUN
boy,13,NOUN
girl,13,NOUN
join,1,VERB
half,7,"ADJ, ADV, NOUN"
as,19,ADV
factorisation,1,NOUN
19x,1,PROPN
x,13,"NOUN, PROPN"
time,23,NOUN
width,13,"NOUN, VERB"
multiple,8,NOUN
algebra,5,NOUN
machine,3,NOUN
A,33,PROPN
B.,20,PROPN
input,1,NOUN
range,8,NOUN
output,1,NOUN
less,24,"ADJ, ADV"
sweet,10,NOUN
Betty,1,PROPN
give,22,VERB
now,12,ADV
part,3,NOUN
calculator,8,NOUN
display,3,NOUN
Shirley,1,PROPN
5x,1,PROPN
produce,1,VERB
error,5,NOUN
correct,1,VERB
4x,2,"NOUN, PROPN"
mx,1,PROPN
c.,1,"NOUN, PROPN"
prove,6,VERB
then,20,ADV
electricity,3,NOUN
Company,1,PROPN
customer,5,NOUN
use,14,VERB
450kwh,1,NOUN
£,19,"NOUN, PROPN"
animal,1,NOUN
coach,2,NOUN
travel,6,VERB
Dronston,1,PROPN
Luscoe,1,PROPN
travel,7,"NOUN, VERB"
journey,5,NOUN
kilometre,8,NOUN
hour,12,NOUN
minute,16,"VERB, NOUN"
add,1,VERB
follow,1,VERB
rule?circle,1,NOUN
happen,4,VERB
Ellie,3,PROPN
-3,3,NOUN
sequence?you,1,NOUN
body,1,NOUN
mass,11,"NOUN, PROPN"
index,2,NOUN
person,14,NOUN
kg,17,"NOUN, PROPN"
height,24,"VERB, NOUN, PROPN"
Usman,1,PROPN
Work,22,PROPN
median,4,"ADJ, NOUN, PROPN"
interquartile,3,ADJ
state,7,"NOUN, VERB"
answer,2,VERB
represent,5,VERB
Jo,2,PROPN
want,23,VERB
work,8,VERB
factorise,2,"PROPN, VERB"
rectangle.is,1,PROPN
perimeter,1,NOUN
shape,6,NOUN
diameter,13,NOUN
interpret,1,VERB
translation,3,NOUN
need,8,VERB
intersect,7,"NOUN, VERB"
Sofia,2,PROPN
try,4,VERB
method,15,NOUN
divide,2,VERB
thenadd,1,NOUN
evaluate,3,VERB
.Give,19,PROPN
co,2,NOUN
ordinate,2,NOUN
identity,6,NOUN
particle,2,NOUN
motion,2,NOUN
sketch,4,VERB
intercept,3,NOUN
move,2,"NOUN, VERB"
rest,14,"NOUN, VERB"
move,2,VERB
approximate,5,ADJ
find,4,VERB
f-1,1,PROPN
train,4,"NOUN, VERB"
leave,12,VERB
station,3,NOUN
Tuesday,4,PROPN
plot,2,"NOUN, VERB"
delay,1,NOUN
compare,5,VERB
distribution,3,NOUN
Monday,9,PROPN
root,2,NOUN
Beth,2,PROPN
run,3,VERB
metre,10,NOUN
race,9,NOUN
complete,4,VERB
Amy,3,PROPN
finish,4,VERB
Amy?You,1,PROPN
-1,2,"ADJ, NOUN, PROPN"
bead,3,NOUN
Billy,1,PROPN
carly,1,ADV
rearrange,1,VERB
simply,3,ADV
product,3,NOUN
add,8,VERB
large,7,ADJ
result,9,NOUN
Calculate,5,PROPN
minimum,7,ADJ
machine,6,NOUN
use,25,VERB
new,7,ADJ
Becky,2,PROPN
marble,2,NOUN
Chris,4,PROPN
Dan,5,PROPN
"says,""If",1,PROPN
student,15,NOUN
puzzle,5,NOUN
record,6,VERB
histogram,1,NOUN
complete,2,VERB
negative,5,ADJ
day,21,NOUN
bacteria,1,NOUN
flask,1,"NOUN, PROPN"
B.The,2,PROPN
B,29,PROPN
grow,4,VERB
exponentially,1,ADV
compare,3,VERB
a,21,NOUN
plant,9,"NOUN, VERB"
animal,2,NOUN
conversion,3,NOUN
change,9,"NOUN, VERB"
pound,4,NOUN
dollar,5,NOUN
temperature,1,NOUN
°,19,"ADJ, NOUN, PROPN"
F,5,PROPN
temperature,5,NOUN
c,15,NOUN
elderly,1,ADJ
home,7,"ADV, NOUN"
Mrs,3,PROPN
Smith,1,PROPN
f,1,NOUN
decide,2,VERB
low,6,ADJ
take,11,VERB
cyclist,1,NOUN
cycle,5,"NOUN, VERB"
take,12,VERB
only,24,"ADJ, ADV"
frequency,6,"ADJ, NOUN"
polygon,3,NOUN
continue,3,VERB
9th,1,ADJ
cross,5,VERB
y‐axis,1,NOUN
Jane,5,PROPN
ice,3,NOUN
rink,1,NOUN
walk,4,VERB
steady,1,ADJ
hour,16,NOUN
walk,5,"NOUN, VERB"
side,14,NOUN
cuboid,9,"ADJ, NOUN"
vertex,5,NOUN
divide,5,VERB
Kelly,1,PROPN
w,1,NOUN
-1are,1,VERB
f,3,PROPN
Brogan,1,PROPN
need,14,VERB
thing,2,NOUN
substitute,1,VERB
comment,3,NOUN
accuracy,3,NOUN
Kai,1,PROPN
